Base TechID,Measure TechID,System Type,Building Type,Building Location,heat,cool,ventFan
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ05,19669.28,6793.76,3751.19
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ06,9759.18,8898.85,3283.2
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ07,7891.91,7098.42,2621.08
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ08,9084.0,19432.44,5488.12
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ09,17349.78,19195.81,6172.68
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ10,8829.97,19588.51,5134.45
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ11,16789.13,27276.89,7319.75
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ12,16639.16,11959.65,4236.27
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ13,24997.47,35122.71,9924.5
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ14,24258.47,20835.0,6892.28
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ15,6403.44,62122.76,12945.49
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ16,29471.08,7817.55,5175.49
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ01,11917.53,1111.68,1325.04
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ02,19125.95,5843.2,3183.17
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ03,17982.22,7582.17,3814.86
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ04,29710.8,14390.71,6017.97
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ05,19669.28,6793.76,3751.19
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ06,9759.18,8898.85,3283.2
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ07,7891.91,7098.42,2621.08
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ08,9084.0,19432.44,5488.12
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ09,17349.78,19195.81,6172.68
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ10,8829.97,19588.51,5134.45
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ11,16789.13,27276.89,7319.75
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ12,16639.16,11959.65,4236.27
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ13,24997.47,35122.71,9924.5
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ14,24258.47,20835.0,6892.28
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ15,6403.44,62122.76,12945.49
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ16,29471.08,7817.55,5175.49
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-NR,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-NR,rDXHP,MFm,CZ01,10307.61,1003.0,1325.04
