Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
Asm,M5,cDXGF,Measure,CZ14,36.62611111111111,662149020.2683442
Asm,M5,cDXHP,Base,CZ14,36.62611111111111,660119029.2469028
Asm,M5,cDXHP,Measure,CZ14,36.62611111111111,660236341.0592594
Asm,M5,cPTAC,Base,CZ14,36.62611111111111,662031256.0820729
Asm,M5,cPTAC,Measure,CZ14,36.62611111111111,662149020.268337
Asm,M5,cPVVG,Base,CZ14,36.62611111111111,653439856.2097068
Asm,M5,cPVVG,Measure,CZ14,36.62611111111111,653560141.5243393
ECC,M1,cDXGF,Base,CZ14,36.62611111111111,1993225192.2589085
ECC,M1,cDXGF,Measure,CZ14,36.62611111111111,1851582906.5397239
ECC,M1,cDXHP,Base,CZ14,36.62611111111111,2004284324.9958606
ECC,M1,cDXHP,Measure,CZ14,36.62611111111111,1861924272.2449036
ECC,M1,cPTAC,Base,CZ14,36.62611111111111,1993223736.7169168
ECC,M1,cPTAC,Measure,CZ14,36.62611111111111,1851582906.4730916
ECC,M1,cPVVG,Base,CZ14,36.62611111111111,1792566892.3715532
ECC,M1,cPVVG,Measure,CZ14,36.62611111111111,1717952889.0798335
ECC,M2,cDXGF,Base,CZ14,36.62611111111111,1735327229.9301996
ECC,M2,cDXGF,Measure,CZ14,36.62611111111111,1622848612.3101394
ECC,M2,cDXHP,Base,CZ14,36.62611111111111,1731499760.6122267
ECC,M2,cDXHP,Measure,CZ14,36.62611111111111,1619217482.470525
ECC,M2,cPTAC,Base,CZ14,36.62611111111111,1735325806.9276884
ECC,M2,cPTAC,Measure,CZ14,36.62611111111111,1622848612.2781875
ECC,M2,cPVVG,Base,CZ14,36.62611111111111,1474658082.65009
ECC,M2,cPVVG,Measure,CZ14,36.62611111111111,1425387376.0879114
ECC,M3,cDXGF,Base,CZ14,36.62611111111111,1392070293.1205971
ECC,M3,cDXGF,Measure,CZ14,36.62611111111111,1386946646.7733514
ECC,M3,cDXHP,Base,CZ14,36.62611111111111,1380676304.3343322
ECC,M3,cDXHP,Measure,CZ14,36.62611111111111,1375741169.7654555
ECC,M3,cPTAC,Base,CZ14,36.62611111111111,1392067182.7962987
ECC,M3,cPTAC,Measure,CZ14,36.62611111111111,1386946646.774211
ECC,M3,cPVVG,Base,CZ14,36.62611111111111,1373610839.0248063
ECC,M3,cPVVG,Measure,CZ14,36.62611111111111,1368900375.9920952
ECC,M4,cDXGF,Base,CZ14,36.62611111111111,1993224443.900659
ECC,M4,cDXGF,Measure,CZ14,36.62611111111111,1851583019.854012
ECC,M4,cDXHP,Base,CZ14,36.62611111111111,2004284991.4415393
ECC,M4,cDXHP,Measure,CZ14,36.62611111111111,1861924312.3386302
ECC,M4,cPTAC,Base,CZ14,36.62611111111111,1993221925.0994225
ECC,M4,cPTAC,Measure,CZ14,36.62611111111111,1851583019.9038637
ECC,M4,cPVVG,Base,CZ14,36.62611111111111,1792572710.894143
ECC,M4,cPVVG,Measure,CZ14,36.62611111111111,1717953031.0025396
ECC,M5,cDXGF,Base,CZ14,36.62611111111111,1482982729.6638823
ECC,M5,cDXGF,Measure,CZ14,36.62611111111111,1476799825.046386
ECC,M5,cDXHP,Base,CZ14,36.62611111111111,1448995597.0839524
